
VOLTA 1
Ciclista   0: metro  55, raia  1
Ciclista  24: quebrou na volta 12
Ciclista  25: quebrou na volta 18
Ciclista  26: quebrou na volta 6
Ciclista  27: quebrou na volta 6
Ciclista  28: ganhou na colocação 10 no instante de tempo 106.30 segundos
Ciclista  29: quebrou na volta 6
Ciclista  30: quebrou na volta 6
Ciclista  31: ganhou na colocação 28 no instante de tempo 393.02 segundos
Ciclista  32: quebrou na volta 12
Ciclista  33: ganhou na colocação 17 no instante de tempo 206.34 segundos
Ciclista  34: quebrou na volta 6
Ciclista  35: quebrou na volta 24
Ciclista  36: ganhou na colocação 21 no instante de tempo 271.21 segundos
Ciclista  37: quebrou na volta 24
Ciclista  38: quebrou na volta 6
Ciclista  39: quebrou na volta 24
Ciclista  40: quebrou na volta 12
Ciclista  41: ganhou na colocação 6 no instante de tempo 47.98 segundos
Ciclista  42: ganhou na colocação 15 no instante de tempo 170.95 segundos
Ciclista  43: quebrou na volta 6
Ciclista  44: quebrou na volta 42
Ciclista  45: quebrou na volta 12
Ciclista  46: quebrou na volta 6
Ciclista  47: quebrou na volta 6
Ciclista  48: quebrou na volta 12
Ciclista  49: ganhou na colocação 26 no instante de tempo 355.88 segundos
Ciclista  50: quebrou na volta 6
Ciclista  51: quebrou na volta 24
Ciclista  52: quebrou na volta 24
Ciclista  53: ganhou na colocação 7 no instante de tempo 62.45 segundos
Ciclista  54: quebrou na volta 24
Ciclista  55: quebrou na volta 12
Ciclista  56: ganhou na colocação 9 no instante de tempo 91.12 segundos
Ciclista  57: ganhou na colocação 12 no instante de tempo 134.98 segundos
Ciclista  58: quebrou na volta 12
Ciclista  59: quebrou na volta 12
Ciclista  60: quebrou na volta 6
Ciclista  61: quebrou na volta 12
Ciclista  62: quebrou na volta 42
Ciclista  63: quebrou na volta 6
Ciclista  64: quebrou na volta 12
Ciclista  65: ganhou na colocação 5 no instante de tempo 34.40 segundos
Ciclista  66: quebrou na volta 36
Ciclista  67: ganhou na colocação 4 no instante de tempo 22.57 segundos
Ciclista  68: ganhou na colocação 8 no instante de tempo 77.49 segundos
Ciclista  69: ganhou na colocação 23 no instante de tempo 305.58 segundos
Ciclista  70: ganhou na colocação 1 no instante de tempo 12.61 segundos
Ciclista  71: ganhou na colocação 2 no instante de tempo 12.61 segundos
Ciclista  72: ganhou na colocação 3 no instante de tempo 12.61 segundos
Ciclista  73: ganhou na colocação 18 no instante de tempo 221.58 segundos
Ciclista  74: ganhou na colocação 20 no instante de tempo 253.84 segundos
